id,season_type,home_total_w_i,home_home_w_i,away_total_l_i,away_away_l_i,away_total_w_i,away_away_w_i,home_total_l_i,home_home_l_i,home_away_w_i,home_away_l_i,home_line_margin,over_under,home_total_pct,away_total_pct,home_home_pct,home_away_pct,away_away_pct,away_home_pct,two_way_winner,handicap_winner,over_under_result
400828377,2,14.0,7.0,13.0,7.0,19.0,7.0,16.0,8.0,7.0,8.0,-2.0,203.0,0.466666666667,0.59375,0.466666666667,0.466666666667,0.5,0.666666666667,home,home,under
400828378,2,18.0,13.0,13.0,8.0,19.0,9.0,13.0,7.0,5.0,6.0,-2.5,196.0,0.58064516129,0.59375,0.65,0.454545454545,0.529411764706,0.666666666667,home,home,under
400828379,2,20.0,10.0,14.0,8.0,17.0,4.0,13.0,5.0,10.0,8.0,-6.0,196.0,0.606060606061,0.548387096774,0.666666666667,0.555555555556,0.333333333333,0.684210526316,home,home,over
400828380,2,18.0,13.0,18.0,10.0,15.0,7.0,12.0,5.0,5.0,7.0,-7.0,199.0,0.6,0.454545454545,0.722222222222,0.416666666667,0.411764705882,0.5,home,home,under
400828381,2,6.0,2.0,31.0,19.0,3.0,2.0,27.0,9.0,4.0,18.0,-2.5,208.0,0.181818181818,0.0882352941176,0.181818181818,0.181818181818,0.0952380952381,0.0769230769231,home,home,under
400828382,2,18.0,9.0,23.0,13.0,9.0,3.0,14.0,8.0,9.0,6.0,-10.0,204.0,0.5625,0.28125,0.529411764706,0.6,0.1875,0.375,away,away,under
400828383,2,12.0,8.0,23.0,13.0,12.0,4.0,20.0,9.0,4.0,11.0,-6.0,213.0,0.375,0.342857142857,0.470588235294,0.266666666667,0.235294117647,0.444444444444,home,home,over
400828384,2,17.0,13.0,10.0,6.0,23.0,7.0,15.0,6.0,4.0,9.0,9.0,210.0,0.53125,0.69696969697,0.684210526316,0.307692307692,0.538461538462,0.8,away,away,under
400828385,2,18.0,11.0,15.0,10.0,18.0,7.0,14.0,5.0,7.0,9.0,-4.5,205.0,0.5625,0.545454545455,0.6875,0.4375,0.411764705882,0.6875,home,home,under
400828386,2,21.0,13.0,14.0,8.0,19.0,7.0,9.0,1.0,8.0,8.0,-8.0,192.0,0.7,0.575757575758,0.928571428571,0.5,0.466666666667,0.666666666667,home,home,under
