id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
400278178,2,away,away,,3.5,,3,3
400278179,2,away,away,,-9.0,,2,3
400278180,2,home,away,,-6.5,,3,3
400278181,2,away,away,,3.5,,3,4
400278182,2,home,home,,2.0,,3,3
400278183,2,away,away,,-9.0,,2,3
400278184,2,home,home,under,-3.0,193.0,2,3
400278185,2,away,home,over,4.0,185.0,3,2
400278186,2,away,away,under,-4.0,198.0,2,3
400278187,2,home,away,under,-10.5,182.0,3,3
400278188,2,away,away,under,4.0,179.0,3,2
400278189,2,home,away,,-12.0,,3,4
400278190,2,away,away,,5.0,,2,3
400278191,2,home,home,,-10.0,,3,3
400278192,2,away,away,over,-9.5,198.0,3,3
400278193,2,home,home,under,-3.5,198.0,2,1
400278194,2,home,home,,-3.0,,3,3
400278195,2,home,home,,2.5,,2,4
400278196,2,home,home,,-2.0,,2,4
400278197,2,away,away,,-7.0,,3,2
400278198,2,away,away,,-6.0,,2,3
400278199,2,away,home,,5.5,,3,3
400278200,2,away,away,,-1.5,,2,2
400278202,2,home,home,,-0.0,,2,3
400278201,2,away,away,,-9.0,,3,3
400278203,2,home,home,,-3.0,,3,3
400278204,2,away,away,,-9.5,,3,3
400278205,2,home,home,,-10.5,,3,3
400278206,2,away,away,,-2.5,,3,3
400278207,2,away,away,,-3.0,,3,2
400278208,2,home,home,,-4.5,,3,1
400278209,2,away,away,,-4.5,,3,3
400278210,2,away,tie,,8.0,,2,2
400278211,2,home,home,,-5.0,,3,3
400278212,2,home,home,,-10.5,,3,4
400278213,2,away,away,,5.0,,2,3
400278214,2,away,away,,-8.0,,2,3
400278215,2,away,away,,-8.0,,3,2
400278216,2,home,home,,-11.0,,4,3
400278217,2,home,home,,-10.0,,2,3
400278218,2,home,home,,-6.5,,4,1
400278219,2,away,away,,7.5,,2,3
400278220,2,home,home,,-15.0,,3,3
400278221,2,away,away,,-9.0,,2,1
400278222,2,away,away,,5.0,,3,2
400278223,2,away,away,,-5.0,,2,3
400278224,2,home,home,,10.0,,3,3
400278225,2,away,away,,-7.0,,3,3
400278226,2,home,home,,-8.5,,2,3
400278227,2,home,home,,8.0,,3,3
400278228,2,home,home,,-5.5,,3,2
400278229,2,away,away,,5.0,,4,3
400278230,2,home,away,,-8.0,,4,2
400278231,2,away,away,,1.5,,3,3
400278232,2,home,home,,4.0,,3,3
400278233,2,home,home,,-6.0,,3,3
400278234,2,home,home,,-7.0,,3,2
400278235,2,home,home,,-1.5,,3,2
400278236,2,home,home,,-3.0,,2,3
400278237,2,away,away,,3.5,,2,3
400278238,2,home,home,,4.5,,3,3
400278239,2,home,tie,,-8.0,,3,3
400278240,2,away,away,,-6.0,,2,3
400278241,2,home,home,,4.5,,2,3
400278242,2,home,away,,-13.0,,3,3
400278243,2,home,home,,-11.0,,3,3
400278244,2,home,away,,-12.5,,3,2
400278245,2,home,away,,-10.0,,2,2
400278246,2,away,away,,-1.0,,1,3
400278247,2,home,tie,,-5.0,,3,2
400278248,2,away,away,,-2.0,,3,3
400278249,2,home,home,,4.0,,3,3
400278250,2,home,home,,-7.5,,2,2
400278251,2,home,home,,-2.5,,3,3
400278252,2,home,home,,-7.5,,2,3
400278253,2,home,home,,-4.0,,3,3
400278254,2,away,away,,-5.5,,3,2
400278255,2,home,home,,-1.0,,3,3
400278256,2,home,home,,-2.0,,3,3
400278257,2,away,away,under,-5.5,197.0,3,1
400278258,2,home,away,,-12.0,,3,3
400278259,2,away,away,,6.0,,3,3
400278260,2,home,away,,-7.5,,2,3
400278261,2,away,away,,-13.0,,2,3
