id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
320101005,2,home,,,,,3,4
320101014,2,home,,,,,3,3
320101019,2,home,,,,,4,3
320101027,2,away,,,,,3,3
320101016,2,home,,,,,3,3
320101004,2,home,,,,,3,3
320101007,2,home,,,,,4,4
320101023,2,home,,,,,4,3
320101012,2,home,,,,,2,3
320102021,2,home,,,,,4,3
320102002,2,home,,,,,4,3
320102008,2,home,,,,,3,3
320102014,2,away,,,,,4,4
320102017,2,away,,,,,4,3
320102018,2,away,,,,,3,3
320102016,2,home,,,,,3,3
320102006,2,home,,,,,3,3
320102007,2,home,,,,,4,2
320102026,2,home,,,,,4,3
320103005,2,home,,,,,3,3
320103004,2,home,,,,,3,4
320103025,2,away,,,,,4,2
320103029,2,home,,,,,3,3
320103026,2,home,,,,,4,2
320103013,2,home,,,,,3,3
320104019,2,home,,,,,4,3
320104028,2,home,,,,,3,3
320104002,2,home,,,,,3,4
320104008,2,away,,,,,3,4
320104014,2,home,,,,,3,3
320104018,2,away,,,,,3,3
320104003,2,away,,,,,3,2
320104016,2,away,,,,,3,3
320104006,2,home,,,,,4,3
320104024,2,home,,,,,3,2
320104007,2,home,,,,,4,4
320104012,2,home,,,,,2,4
320105001,2,away,,,,,4,4
320105024,2,home,,,,,3,4
320105023,2,home,,,,,4,3
320105022,2,home,,,,,2,3
320106020,2,home,,,,,2,2
320106027,2,away,,,,,3,3
320106028,2,away,,,,,3,3
320106030,2,away,,,,,3,4
320106002,2,away,,,,,3,2
320106003,2,away,,,,,3,3
320106016,2,away,,,,,3,3
320106019,2,away,,,,,3,3
320106025,2,home,,,,,3,3
320106026,2,home,,,,,3,3
320106013,2,home,,,,,3,3
320106021,2,home,,,,,3,3
320107001,2,home,,,,,4,4
320107011,2,home,,,,,3,3
320107008,2,away,,,,,3,3
320107017,2,away,,,,,3,3
320107010,2,away,,,,,3,3
320107020,2,home,,,,,2,3
320107024,2,home,,,,,3,4
320107006,2,home,,,,,4,4
320107009,2,away,,,,,3,3
320107012,2,home,,,,,2,3
320108027,2,away,,,,,3,4
320108023,2,away,,,,,4,3
320108025,2,home,,,,,4,4
320108021,2,home,,,,,2,4
320108022,2,home,,,,,3,3
320108013,2,home,,,,,3,3
320109020,2,home,,,,,3,3
320109028,2,home,,,,,3,3
320109017,2,away,,,,,3,4
320109018,2,home,,,,,3,4
320109004,2,home,,,,,4,3
320109007,2,away,,,,,3,3
320110020,2,home,,,,,4,3
320110027,2,home,,,,,3,4
320110030,2,away,,,,,4,3
320110008,2,away,,,,,4,3
320110015,2,home,,,,,3,4
320110016,2,away,,,,,4,4
320110029,2,away,,,,,3,3
320110026,2,home,,,,,2,3
320110022,2,home,,,,,3,2
320110009,2,home,,,,,3,3
320110013,2,home,,,,,3,3
320111011,2,home,,,,,3,4
320111028,2,away,,,,,4,3
320111018,2,home,,,,,3,4
320111002,2,away,,,,,1,3
320111003,2,away,,,,,3,4
320111004,2,home,,,,,4,3
320111024,2,home,,,,,4,3
320111007,2,home,,,,,3,3
