id,season_type,two_way_winner,handicap_winner,over_under_result,home_line_margin,over_under,home_fatigue,away_fatigue
400489341,2,away,away,,-0.0,,3,3
400489342,2,home,home,,5.0,,3,2
400489343,2,home,home,,-6.5,,3,3
400489344,2,away,away,,-10.0,,3,2
400489345,2,home,home,,-11.5,,3,3
400489346,2,home,home,,-2.0,,3,3
400489347,2,away,away,,-4.0,,3,3
400489348,2,home,home,,-4.5,,3,2
400489349,2,away,away,,-11.5,,3,3
400489350,2,away,away,,-11.5,,2,2
400489351,2,away,away,,-5.5,,3,2
400489352,2,home,home,,-4.0,,3,3
400489353,2,home,home,,-11.5,,3,4
400489354,2,away,away,,-7.0,,3,3
400489355,2,away,away,,-2.0,,3,3
400489356,2,away,home,,2.0,,3,3
400489357,2,away,away,,1.5,,2,3
400489358,2,home,away,,-11.0,,3,2
400489359,2,away,away,,-1.0,,3,3
400489360,2,home,away,,-4.5,,3,3
400489361,2,home,home,,-5.0,,2,3
400489362,2,home,home,,-10.5,,2,3
400489363,2,away,away,,9.5,,2,2
400489364,2,home,away,,-8.5,,2,2
400489365,2,home,home,,-4.0,,3,2
400489366,2,away,away,,-1.0,,2,3
400489367,2,home,home,,-6.0,,3,3
400489368,2,home,home,,-9.0,,2,2
400489369,2,away,away,,-13.5,,3,3
400489370,2,away,away,,-5.0,,3,3
400489371,2,away,away,,-3.5,,1,3
400489372,2,away,home,,9.5,,2,2
400489373,2,home,away,,-7.5,,2,3
400489374,2,away,away,,3.5,,3,3
400489375,2,home,home,,-11.0,,3,3
400489376,2,away,away,,-7.0,,3,2
400489377,2,away,away,,-2.0,,2,3
400489378,2,away,away,,7.0,,3,2
400489379,2,home,home,,-4.5,,3,2
400489380,2,home,home,,-10.0,,3,2
400489381,2,away,away,,-0.0,,3,2
400489382,2,home,home,,-5.5,,3,4
400489383,2,home,away,,-9.0,,3,3
400489384,2,home,home,,-10.0,,3,3
400489385,2,home,home,,-3.0,,3,1
400489386,2,home,home,,-2.0,,2,2
400489387,2,away,home,,6.0,,3,2
400489388,2,away,away,,8.0,,2,3
400489389,2,home,home,,-11.0,,2,2
400489390,2,home,home,,-6.5,,3,3
400489391,2,home,home,,6.5,,2,3
400489392,2,home,home,,6.0,,2,2
400489393,2,home,home,,-8.0,,3,3
400489394,2,home,home,,-5.0,,3,2
400489395,2,home,home,,6.0,,3,3
400489396,2,home,home,,6.0,,3,4
