id,season_type,home_line_margin,over_under,two_way_winner,handicap_winner,over_under_result,away_away_strk,home_home_strk,away_total_strk,home_total_strk
400489341,2,-0.0,,away,away,,3,1,2,2
400489342,2,5.0,,home,home,,1,1,5,3
400489343,2,-6.5,,home,home,,-1,-1,1,-1
400489344,2,-10.0,,away,away,,1,-4,1,-7
400489345,2,-11.5,,home,home,,-2,-1,-3,-1
400489346,2,-2.0,,home,home,,1,-3,-1,-6
400489347,2,-4.0,,away,away,,3,5,6,2
400489348,2,-4.5,,home,home,,-2,-2,-1,-1
400489349,2,-11.5,,away,away,,-4,-1,-2,-1
400489350,2,-11.5,,away,away,,-1,2,-3,3
400489351,2,-5.5,,away,away,,-1,3,-1,2
400489352,2,-4.0,,home,home,,1,2,1,1
400489353,2,-11.5,,home,home,,-3,-1,-4,1
400489354,2,-7.0,,away,away,,2,1,2,1
400489355,2,-2.0,,away,away,,2,-1,4,-1
400489356,2,2.0,,away,home,,4,5,7,1
400489357,2,1.5,,away,away,,-2,-1,-1,-2
400489358,2,-11.0,,home,away,,1,-1,1,-2
400489359,2,-1.0,,away,away,,-2,-2,1,3
400489360,2,-4.5,,home,away,,1,-5,1,-8
400489361,2,-5.0,,home,home,,-2,-3,2,-6
400489362,2,-10.5,,home,home,,1,4,1,-1
400489363,2,9.5,,away,away,,2,-1,-1,-2
400489364,2,-8.5,,home,away,,-4,1,1,1
400489365,2,-4.0,,home,home,,1,1,-1,1
400489366,2,-1.0,,away,away,,7,1,-2,1
400489367,2,-6.0,,home,home,,1,-1,2,-1
400489368,2,-9.0,,home,home,,-1,-1,-1,-1
400489369,2,-13.5,,away,away,,3,1,3,2
400489370,2,-5.0,,away,away,,-4,-1,-5,-1
400489371,2,-3.5,,away,away,,-1,-4,-1,-3
400489372,2,9.5,,away,home,,-1,1,1,-1
400489373,2,-7.5,,home,away,,3,-1,5,1
400489374,2,3.5,,away,away,,5,-2,8,-2
400489375,2,-11.0,,home,home,,-3,-2,-3,1
400489376,2,-7.0,,away,away,,-1,-3,-1,-1
400489377,2,-2.0,,away,away,,-3,1,1,1
400489378,2,7.0,,away,away,,1,1,-1,4
400489379,2,-4.5,,home,home,,-1,2,-2,2
400489380,2,-10.0,,home,home,,-1,1,-3,-1
